tenth_percentage,Counts
89,48
85,40
87,35
90,34
92,33
93,33
75,32
80,31
91,29
88,29
84,27
95,23
82,21
81,20
86,20
78,20
83,20
94,19
96,19
70,15
93.4,15
72,14
93.6,13
90.8,13
90.4,12
89.6,12
76,11
89.2,11
88.8,11
92.6,11
77,10
89.8,10
79,10
92.4,10
83.6,9
96.4,9
87.4,9
92.8,9
84.6,9
93.2,9
97,9
95.4,8
88.6,8
91.8,8
65,8
94.4,8
84.2,8
87.2,8
68,8
85.4,8
83.2,8
86.8,7
91.4,7
95.8,7
91.2,7
85.8,7
93.8,7
90.6,7
88.2,7
94.2,7
77.6,6
81.6,6
80.6,6
71,6
94.8,6
90.2,6
89.4,6
86.4,6
74,6
86.2,6
88.4,6
82.2,6
94.6,6
69,6
81.4,5
63,5
79.8,5
83.8,5
80.2,5
84.4,5
84.94,5
60,5
92.2,5
86.6,5
73,5
96.2,5
91.6,4
84.8,4
72.8,4
82.6,4
85.2,4
88.88,4
80.4,4
79.6,4
87.8,4
97.8,4
93.5,4
83.4,4
82.8,4
80.8,4
71.2,4
95.2,4
,4
67,4
73.2,3
90.5,3
62,3
75.8,3
95.6,3
74.6,3
97.2,3
66,3
78.8,3
75.6,3
78.4,3
58,3
98,3
64,3
97.6,3
81.8,3
86.5,3
96.8,3
72.4,2
98.6,2
74.2,2
90.66,2
86.66,2
68.8,2
82.4,2
99,2
71.4,2
88.89,2
85.6,2
76.2,2
87.6,2
85.5,2
75.4,2
74.8,2
78.6,2
66.6,2
76.4,2
88.7,2
98.8,2
76.8,2
79.4,2
72.83,2
55.4,2
72.2,2
77.2,2
87.5,2
81.2,2
99.98,1
66.67,1
64.39,1
67.8,1
75.76,1
67.11,1
89.77,1
69.4,1
87.36,1
67.54,1
77.21,1
62.6,1
67.71,1
47.8,1
90.91,1
98.2,1
93.26,1
73.8,1
90.68,1
86.57,1
83.48,1
71.6,1
73.67,1
71.8,1
91.47,1
88.44,1
57.8,1
53.6,1
64.5,1
90.06,1
73.3,1
87.7,1
66.35,1
82.69,1
94.89,1
98.4,1
67.2,1
96.7,1
92.63,1
95.33,1
77.8,1
97.4,1
78.5,1
79.5,1
57.2,1
59,1
73.66,1
76.5,1
69.39,1
86.7,1
91.67,1
82.16,1
78.66,1
70.4,1
66.4,1
83.43,1
81.11,1
61.6,1
89.5,1
75.78,1
89.86,1
84.3,1
64.89,1
86.33,1
68.5,1
55.6,1
98.96,1
75.35,1
60.8,1
94.5,1
90.3,1
67.66,1
95.5,1
97.86,1
65.29,1
75.64,1
85.43,1
86.86,1
65.64,1
94.86,1
78.83,1
96.05,1
88.87,1
69.6,1
81.14,1
62.58,1
73.4,1
64.4,1
84. 84,1
63.2,1
74.84,1
93.33,1
67.6,1
61,1
85.7,1
93.67,1
79.9,1
71.53,1
88.67,1
82.5,1
87.67,1
90.45,1
83.64,1
75.83,1
75.44,1
63.6,1
61.5,1
77.33,1
88.96,1
94.3,1
99.8,1
88.9,1
93.83,1
68.4,1
66.7,1
74.4,1
53,1
80.93,1
77.62,1
96.67,1
96.6,1
77.66,1
75.2,1
82.65,1
90.65,1
92.5,1
69.8,1
79.2,1
83.5,1
74.25,1
89.9,1
87.12,1
36,1
